Description	Text	Answers	IsCorrect	SubjectId	TypeId	LevelId	Themes	PicName
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Cím: Pannónia dicsérete  Műfaj: epigramma Keletkezés ideje: 1464–1465	"Babits Mihály;Janus Pannonius;József Attila;Petőfi Sándor;Radnóti Miklós;Vörösmarty Mihály;Zrínyi Miklós"	"0;1;0;0;0;0;0"	3	1	1	1,2,3,4,5,6,7,8,9,10,11	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Szerző: Janus Pannonius   Műfaj: epigramma Keletkezés ideje: 1464–1466	"A Dunánál;Az apostol;A vén cigány;Pannónia dicsérete;Édes Anna;Hetedik ecloga;Tartózkodó kérelem"	"0;0;0;1;0;0;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Cím: Pannónia dicsérete  Szerző: Janus Pannonius  Keletkezés ideje: 1464–1465	"dal;elbeszélő költemény;epigramma;eposz;óda;rapszódia;regény"	"0;0;1;0;0;0;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Cím: Pannónia dicsérete Szerző: Janus Pannonius  Műfaj: epigramma	"1464–1465;1645–1648;1795;1848;1855;1936;1967"	"1;0;0;0;0;0;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Cím: Az apostol  Műfaj: elbeszélő költemény Keletkezés ideje: 1848	"Babits Mihály;Janus Pannonius;József Attila;Petőfi Sándor;Radnóti Miklós;Vörösmarty Mihály;Zrínyi Miklós"	"0;0;1;0;0;0;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Szerző: Petőfi Sándor  Műfaj:  elbeszélő költemény Keletkezés ideje: 1848	"A Dunánál;Az apostol;A vén cigány;Pannónia dicsérete;Édes Anna;Hetedik ecloga;Tartózkodó kérelem"	"0;1;0;0;0;0;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Cím: Az apostol  Szerző: Petőfi Sándor Keletkezés ideje: 1848	"dal;elbeszélő költemény;epigramma;eposz;óda;rapszódia;regény"	"0;1;0;0;0;0;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Cím: Az apostol Szerző: Petőfi Sándor  Műfaj: elbeszélő költemény	"1464–1465;1645–1648;1795;1848;1855;1936;1967"	"0;0;0;1;0;0;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Cím: Az apostol  Műfaj: elbeszélő költemény Keletkezés ideje: 1855 	"Babits Mihály;Janus Pannonius;József Attila;Petőfi Sándor;Radnóti Miklós;Vörösmarty Mihály;Zrínyi Miklós"	"0;0;0;0;0;1;0"	3	1	1	3,8	
Töltse ki a feladatot az alábbi megadott információkból válogatva! Segítségül megadtunk három információt a táblázatban. 	Szerző: Vörösmarty Mihály  Műfaj: elbeszélő költemény  Keletkezés ideje:  1855 	"A Dunánál;Az apostol;A vén cigány;Pannónia dicsérete;Édes Anna;Hetedik ecloga;Tartózkodó kérelem"	"0;1;0;0;0;0;0"	3	1	1	3,8	
