Description	Text	Answers	IsCorrect	SubjectId	TypeId	LevelId	Themes	PicName
A feladat a kereszténység főbb tanításaihoz kapcsolódik. Oldja meg a feladatokat a forrás és ismeretei segítségével!	„Hallottátok, hogy a régiek ezt a parancsot kapták: Ne ölj! Aki öl, állítsák a törvényszék elé. Én pedig azt mondom nektek: Már azt is állítsák a törvényszék elé, aki haragot tart embertársával. […] Hallottátok a parancsot: Szemet szemért és fogat fogért. Én pedig azt mondom nektek, ne álljatok ellent a gonosznak. Aki megüti a jobb arcodat, annak tartsd oda a másikat is! […] Hallottátok a parancsot: Szeresd felebarátodat, és gyűlöld ellenségedet! Én pedig azt mondom nektek: Szeressétek ellenségeiteket, és imádkozzatok üldözőitekért! Így lesztek fiai mennyei Atyátoknak, aki fölkelti napját jókra is, gonoszokra is, esőt ad igazaknak is, bűnösöknek is. Ha csupán azokat szeretitek, akik szeretnek benneteket, mi lesz a jutalmatok?” (Részletek Jézus hegyi beszédéből, Máté evangéliuma)	"zsidó;izraelita;judaizmus"	"1;1;1"	2	3	1	9	
Válassza ki a következő mondatok közül azt a hármat, amelyek tükrözik Jézusnak az idézett szövegrészletben megfogalmazott tanításait! Jelölje ki a három megfelelő mondat sorszámát!	„Hallottátok, hogy a régiek ezt a parancsot kapták: Ne ölj! Aki öl, állítsák a törvényszék elé. Én pedig azt mondom nektek: Már azt is állítsák a törvényszék elé, aki haragot tart embertársával. […] Hallottátok a parancsot: Szemet szemért és fogat fogért. Én pedig azt mondom nektek, ne álljatok ellent a gonosznak. Aki megüti a jobb arcodat, annak tartsd oda a másikat is! […] Hallottátok a parancsot: Szeresd felebarátodat, és gyűlöld ellenségedet! Én pedig azt mondom nektek: Szeressétek ellenségeiteket, és imádkozzatok üldözőitekért! Így lesztek fiai mennyei Atyátoknak, aki fölkelti napját jókra is, gonoszokra is, esőt ad igazaknak is, bűnösöknek is. Ha csupán azokat szeretitek, akik szeretnek benneteket, mi lesz a jutalmatok?” (Részletek Jézus hegyi beszédéből, Máté evangéliuma)	"1. Csak az minősül igaz szeretetnek, ami önzetlen.;2. A hívők kötelessége a hit terjesztése.;3. Az ember célja a földi javak helyett az üdvösség legyen.;4. Bűnnek számít nemcsak a tett, hanem a gonosz vagy ártó szándék is.;5. Az üdvösséget csak a napi rendszeres imádkozással lehet elérni.;6. Jézus Isten fiaként az emberiség megváltója.;7. Az erőszakot semmi nem igazolhatja. "	"1;0;0;1;0;0;1"	2	2	1	9	
A feladat az iszlám vallással kapcsolatos. Nevezze meg azt a személyt, akit a szerző – egyes szám első személyt használva – idéz! 	"„Aludtam, […] amikor egy teleírott leplet hozott nekem [Gábriel angyal], és ezt mondta: »Olvasd!« Erre én így szóltam: »Nem tudom elolvasni.« Ekkor úgy beleszorított engem a lepelbe, hogy azt hittem, meg kell halnom, azután elengedett, s megint azt mondta: »Olvasd!« […] Megkérdeztem, hogy mit kell elolvasnom; erre azt felelte: »Olvass a te Urad nevében, aki az embert egyetlen vérrögből alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak által tanította meg az embert arra, amit az nem tudott!« – És ekkor én olvastam, és Gábriel ismét elhagyott engem. Erre felébredtem, s úgy éreztem, mintha ezek a szavak a szívembe lennének beleírva. Kiléptem a barlangból, s […] az ég felé emeltem fejemet, hogy a beszélő után nézzek, és megláttam Gábrielt szárnyas férfiként, lábai a látóhatáron nyugodtak.” (Ibn Hisám által írt életrajz, 9. század)"	Mohamed	1	2	3	1	10	20241016_2_01.png
A feladat az iszlám vallással kapcsolatos. Jelölje ki a forrásban leírt eseményt ábrázoló kép betűjelét! Egyetlen betűjelet jelöljön ki!	"„Aludtam, […] amikor egy teleírott leplet hozott nekem [Gábriel angyal], és ezt mondta: »Olvasd!« Erre én így szóltam: »Nem tudom elolvasni.« Ekkor úgy beleszorított engem a lepelbe, hogy azt hittem, meg kell halnom, azután elengedett, s megint azt mondta: »Olvasd!« […] Megkérdeztem, hogy mit kell elolvasnom; erre azt felelte: »Olvass a te Urad nevében, aki az embert egyetlen vérrögből alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak által tanította meg az embert arra, amit az nem tudott!« – És ekkor én olvastam, és Gábriel ismét elhagyott engem. Erre felébredtem, s úgy éreztem, mintha ezek a szavak a szívembe lennének beleírva. Kiléptem a barlangból, s […] az ég felé emeltem fejemet, hogy a beszélő után nézzek, és megláttam Gábrielt szárnyas férfiként, lábai a látóhatáron nyugodtak.” (Ibn Hisám által írt életrajz, 9. század)"	"A;B;C"	"0;1;0"	2	1	1	10	
A feladat az iszlám vallással kapcsolatos. Nevezze meg azt az írásművet, amely ezen esemény következtében született meg! 	"„Aludtam, […] amikor egy teleírott leplet hozott nekem [Gábriel angyal], és ezt mondta: »Olvasd!« Erre én így szóltam: »Nem tudom elolvasni.« Ekkor úgy beleszorított engem a lepelbe, hogy azt hittem, meg kell halnom, azután elengedett, s megint azt mondta: »Olvasd!« […] Megkérdeztem, hogy mit kell elolvasnom; erre azt felelte: »Olvass a te Urad nevében, aki az embert egyetlen vérrögből alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak által tanította meg az embert arra, amit az nem tudott!« – És ekkor én olvastam, és Gábriel ismét elhagyott engem. Erre felébredtem, s úgy éreztem, mintha ezek a szavak a szívembe lennének beleírva. Kiléptem a barlangból, s […] az ég felé emeltem fejemet, hogy a beszélő után nézzek, és megláttam Gábrielt szárnyas férfiként, lábai a látóhatáron nyugodtak.” (Ibn Hisám által írt életrajz, 9. század)"	Korán	1	2	3	1	10	
A feladat az iszlám vallással kapcsolatos. A vallás megszületésének mely mozzanatát mutatja be a szöveges forrás? Jelölje ki az egyetlen helyes állítást! 	"„Aludtam, […] amikor egy teleírott leplet hozott nekem [Gábriel angyal], és ezt mondta: »Olvasd!« Erre én így szóltam: »Nem tudom elolvasni.« Ekkor úgy beleszorított engem a lepelbe, hogy azt hittem, meg kell halnom, azután elengedett, s megint azt mondta: »Olvasd!« […] Megkérdeztem, hogy mit kell elolvasnom; erre azt felelte: »Olvass a te Urad nevében, aki az embert egyetlen vérrögből alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak által tanította meg az embert arra, amit az nem tudott!« – És ekkor én olvastam, és Gábriel ismét elhagyott engem. Erre felébredtem, s úgy éreztem, mintha ezek a szavak a szívembe lennének beleírva. Kiléptem a barlangból, s […] az ég felé emeltem fejemet, hogy a beszélő után nézzek, és megláttam Gábrielt szárnyas férfiként, lábai a látóhatáron nyugodtak.” (Ibn Hisám által írt életrajz, 9. század)"	"1. A mű főszereplője próféta lett.;2. Kezdetét vette az iszlám időszámítás.;3. A mű főszereplője mennybe ment. "	"1;0;0"	2	1	1	10	
A feladat az angol alkotmányos monarchia történetéhez kapcsolódik. Válassza ki a forrás betűvel jelölt részletei közül azokat, amelyek az igazságszolgáltatást szabályozzák, illetve azokat, amelyek a végrehajtó hatalom ellenőrzéséről szólnak! Írja a betűjeleket a megfelelő mezőbe! 	"„[A] Az Egyházügyi Biztosok Bíróságának felállítására vonatkozó utasítás és valamennyi egyéb hasonló utasítás és törvényszék törvényellenes és káros; […]\n[B] a felségjogra hivatkozva a korona részére adót beszedni a parlamet jóváhagyása nélkül, vagy hosszabb időre, vagy más módon, mint az jóváhagyatott, törvényellenes;\n[C] békeidőben a királyság területén állandó hadsereget gyűjteni vagy fenntartani, hacsak a parlament nem adja hozzájárulását, törvényellenes; […]\n[D] a parlament tagjainak megválasztása szabadon kell, hogy történjék; […]\n[E] az esküdteket [esküdtbíróság tagjait] annak rendje-módja szerint kell […]kiválasztani; […]\n[F] a törvények megjavítása […] érdekében gyakran kell parlamentet tartani.”(Jognyilatkozat, 1689) "	"A;B;C;D;E;F"	"Igazságszolgáltatás szabályozása: _1;0;0;0;1;0|Végrehajtás ellenőrzése: _0;1;1;0;0;0"	2	3	1	11	
A feladat az 1848-as forradalommal kapcsolatos.Melyik állítás támasztja alá az idézett beszéd a) betűvel jelzett, aláhúzott részét? Jelölje ki az egyetlen helyes állítás sorszámát! 	"„[a)] A hozott törvényeket és azok következményeit tekintve fontosabbat, nevezetesebbet törvényhozásunk […] [évszázadai] nem ismernek. Törvényeinknek, mellyek e jelen országgyűlésen szentesítettek, kis kötege állodalmunk [államunk] majd minden viszonyainak lényeges megváltoztatását foglalja magában. [b)] Országgyűlésünk ez alakban utószor van együtt; [c)] hazatértünkkor a régi viszonyokkal többé nem találkozunk.” (Zarka Jánosnak, az alsótábla elnökének zárszava az országgyűlésen, 1848. április)"	"1. A „hozott törvények” kimondták Magyarország elszakadását a Habsburg Birodalomtól, ami a szabadságharc kirobbanásához vezetett.;2. A „hozott törvényekkel” a forradalom elérte fő céljait, megteremtődtek a polgári átalakulás feltételei.;3. A „hozott törvények” megteremtették Magyarország és Ausztria kiegyezését, ami lehetővé tette a gyors gazdasági fejlődést"	"0;1;0"	2	1	1	12,13	
A feladat az 1848-as forradalommal kapcsolatos.Mire utal az idézett beszéd b) betűvel jelzett, aláhúzott része? Jelölje ki az egyetlen helyes válasz sorszámát!	"„[a)] A hozott törvényeket és azok következményeit tekintve fontosabbat, nevezetesebbet törvényhozásunk […] [évszázadai] nem ismernek. Törvényeinknek, mellyek e jelen országgyűlésen szentesítettek, kis kötege állodalmunk [államunk] majd minden viszonyainak lényeges megváltoztatását foglalja magában. [b)] Országgyűlésünk ez alakban utószor van együtt; [c)] hazatértünkkor a régi viszonyokkal többé nem találkozunk.” (Zarka Jánosnak, az alsótábla elnökének zárszava az országgyűlésen, 1848. április)"	"1. A felsőtábla megszüntetésével egykamarás országgyűlést hoztak létre.;2. Általános választójogot vezettek be.;3. Népképviseleti országgyűlés váltotta fel az eddigi rendi országgyűlést."	"0;0;1"	2	1	1	12,13	
A feladat az 1848-as forradalommal kapcsolatos.  A forrás szerzője a jellemzően a birtokos nemesek közé tartozó követtársaihoz beszélt. Melyik intézkedés volt a legjelentősebb oka annak a változásnak, amelyre az idézett beszéd c) betűvel jelzett, aláhúzott része utal? Nevezze meg szakkifejezéssel! 	"„[a)] A hozott törvényeket és azok következményeit tekintve fontosabbat, nevezetesebbet törvényhozásunk […] [évszázadai] nem ismernek. Törvényeinknek, mellyek e jelen országgyűlésen szentesítettek, kis kötege állodalmunk [államunk] majd minden viszonyainak lényeges megváltoztatását foglalja magában. [b)] Országgyűlésünk ez alakban utószor van együtt; [c)] hazatértünkkor a régi viszonyokkal többé nem találkozunk.” (Zarka Jánosnak, az alsótábla elnökének zárszava az országgyűlésen, 1848. április)"	" jobbágyfelszabadítás;örökváltság;úrbéri viszonyok megszüntetése;közteherviselés; törvény előtti egyenlőség ; jogkiterjesztés"	"1;1;1;1;1;1;1"	2	3	1	12,13	
