Description	Text	Answers	IsCorrect	SubjectId	TypeId	LevelId	Themes	PicName
A feladat a kereszt?nys?g f?bb tan?t?saihoz kapcsol?dik. Mely vall?s k?vet?ire vonatkozik az id?zett forr?sban al?h?zott sz??	?Hallott?tok, hogy a r?giek ezt a parancsot kapt?k: Ne ?lj! Aki ?l, ?ll?ts?k a t?rv?nysz?k el?. ?n pedig azt mondom nektek: M?r azt is ?ll?ts?k a t?rv?nysz?k el?, aki haragot tart embert?rs?val. […] Hallott?tok a parancsot: Szemet szem?rt ?s fogat fog?rt. ?n pedig azt mondom nektek, ne ?lljatok ellent a gonosznak. Aki meg?ti a jobb arcodat, annak tartsd oda a m?sikat is! […] Hallott?tok a parancsot: Szeresd felebar?todat, ?s gy?l?ld ellens?gedet! ?n pedig azt mondom nektek: Szeress?tek ellens?geiteket, ?s im?dkozzatok ?ld?z?itek?rt! ?gy lesztek fiai mennyei Aty?toknak, aki f?lkelti napj?t j?kra is, gonoszokra is, es?t ad igazaknak is, b?n?s?knek is. Ha csup?n azokat szeretitek, akik szeretnek benneteket, mi lesz a jutalmatok?” (R?szletek J?zus hegyi besz?d?b?l, M?t? evang?liuma)	"zsid?;izraelita;judaizmus"	"1;1;1"	2	3	1	9	
V?lassza ki a k?vetkez? mondatok k?z?l azt a h?rmat, amelyek t?kr?zik J?zusnak az id?zett sz?vegr?szletben megfogalmazott tan?t?sait! Jel?lje ki a h?rom megfelel? mondat sorsz?m?t!	?Hallott?tok, hogy a r?giek ezt a parancsot kapt?k: Ne ?lj! Aki ?l, ?ll?ts?k a t?rv?nysz?k el?. ?n pedig azt mondom nektek: M?r azt is ?ll?ts?k a t?rv?nysz?k el?, aki haragot tart embert?rs?val. […] Hallott?tok a parancsot: Szemet szem?rt ?s fogat fog?rt. ?n pedig azt mondom nektek, ne ?lljatok ellent a gonosznak. Aki meg?ti a jobb arcodat, annak tartsd oda a m?sikat is! […] Hallott?tok a parancsot: Szeresd felebar?todat, ?s gy?l?ld ellens?gedet! ?n pedig azt mondom nektek: Szeress?tek ellens?geiteket, ?s im?dkozzatok ?ld?z?itek?rt! ?gy lesztek fiai mennyei Aty?toknak, aki f?lkelti napj?t j?kra is, gonoszokra is, es?t ad igazaknak is, b?n?s?knek is. Ha csup?n azokat szeretitek, akik szeretnek benneteket, mi lesz a jutalmatok?” (R?szletek J?zus hegyi besz?d?b?l, M?t? evang?liuma)	"1. Csak az min?s?l igaz szeretetnek, ami ?nzetlen.;2. A h?v?k k?teless?ge a hit terjeszt?se.;3. Az ember c?lja a f?ldi javak helyett az ?dv?ss?g legyen.;4. B?nnek sz?m?t nemcsak a tett, hanem a gonosz vagy ?rt? sz?nd?k is.;5. Az ?dv?ss?get csak a napi rendszeres im?dkoz?ssal lehet el?rni.;6. J?zus Isten fiak?nt az emberis?g megv?lt?ja.;7. Az er?szakot semmi nem igazolhatja. "	"1;0;0;1;0;0;1"	2	2	1	9	
A feladat az iszl?m vall?ssal kapcsolatos. Nevezze meg azt a szem?lyt, akit a szerz? ? egyes sz?m els? szem?lyt haszn?lva ? id?z! 	"?Aludtam, […] amikor egy tele?rott leplet hozott nekem [G?briel angyal], ?s ezt mondta: ?Olvasd!? Erre ?n ?gy sz?ltam: ?Nem tudom elolvasni.? Ekkor ?gy beleszor?tott engem a lepelbe, hogy azt hittem, meg kell halnom, azut?n elengedett, s megint azt mondta: ?Olvasd!? […] Megk?rdeztem, hogy mit kell elolvasnom; erre azt felelte: ?Olvass a te Urad nev?ben, aki az embert egyetlen v?rr?gb?l alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak ?ltal tan?totta meg az embert arra, amit az nem tudott!? ? ?s ekkor ?n olvastam, ?s G?briel ism?t elhagyott engem. Erre fel?bredtem, s ?gy ?reztem, mintha ezek a szavak a sz?vembe lenn?nek bele?rva. Kil?ptem a barlangb?l, s […] az ?g fel? emeltem fejemet, hogy a besz?l? ut?n n?zzek, ?s megl?ttam G?brielt sz?rnyas f?rfik?nt, l?bai a l?t?hat?ron nyugodtak.” (Ibn His?m ?ltal ?rt ?letrajz, 9. sz?zad)"	Mohamed	1	2	3	1	10	
A feladat az iszl?m vall?ssal kapcsolatos. Jel?lje ki a forr?sban le?rt esem?nyt ?br?zol? k?p bet?jel?t! Egyetlen bet?jelet jel?lj?n ki!	"?Aludtam, […] amikor egy tele?rott leplet hozott nekem [G?briel angyal], ?s ezt mondta: ?Olvasd!? Erre ?n ?gy sz?ltam: ?Nem tudom elolvasni.? Ekkor ?gy beleszor?tott engem a lepelbe, hogy azt hittem, meg kell halnom, azut?n elengedett, s megint azt mondta: ?Olvasd!? […] Megk?rdeztem, hogy mit kell elolvasnom; erre azt felelte: ?Olvass a te Urad nev?ben, aki az embert egyetlen v?rr?gb?l alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak ?ltal tan?totta meg az embert arra, amit az nem tudott!? ? ?s ekkor ?n olvastam, ?s G?briel ism?t elhagyott engem. Erre fel?bredtem, s ?gy ?reztem, mintha ezek a szavak a sz?vembe lenn?nek bele?rva. Kil?ptem a barlangb?l, s […] az ?g fel? emeltem fejemet, hogy a besz?l? ut?n n?zzek, ?s megl?ttam G?brielt sz?rnyas f?rfik?nt, l?bai a l?t?hat?ron nyugodtak.” (Ibn His?m ?ltal ?rt ?letrajz, 9. sz?zad)"	"A;B;C"	"0;1;0"	2	1	1	10	20241016_2_01.png
A feladat az iszl?m vall?ssal kapcsolatos. Nevezze meg azt az ?r?sm?vet, amely ezen esem?ny k?vetkezt?ben sz?letett meg! 	"?Aludtam, […] amikor egy tele?rott leplet hozott nekem [G?briel angyal], ?s ezt mondta: ?Olvasd!? Erre ?n ?gy sz?ltam: ?Nem tudom elolvasni.? Ekkor ?gy beleszor?tott engem a lepelbe, hogy azt hittem, meg kell halnom, azut?n elengedett, s megint azt mondta: ?Olvasd!? […] Megk?rdeztem, hogy mit kell elolvasnom; erre azt felelte: ?Olvass a te Urad nev?ben, aki az embert egyetlen v?rr?gb?l alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak ?ltal tan?totta meg az embert arra, amit az nem tudott!? ? ?s ekkor ?n olvastam, ?s G?briel ism?t elhagyott engem. Erre fel?bredtem, s ?gy ?reztem, mintha ezek a szavak a sz?vembe lenn?nek bele?rva. Kil?ptem a barlangb?l, s […] az ?g fel? emeltem fejemet, hogy a besz?l? ut?n n?zzek, ?s megl?ttam G?brielt sz?rnyas f?rfik?nt, l?bai a l?t?hat?ron nyugodtak.” (Ibn His?m ?ltal ?rt ?letrajz, 9. sz?zad)"	Kor?n	1	2	3	1	10	
A feladat az iszl?m vall?ssal kapcsolatos. A vall?s megsz?let?s?nek mely mozzanat?t mutatja be a sz?veges forr?s? Jel?lje ki az egyetlen helyes ?ll?t?st! 	"?Aludtam, […] amikor egy tele?rott leplet hozott nekem [G?briel angyal], ?s ezt mondta: ?Olvasd!? Erre ?n ?gy sz?ltam: ?Nem tudom elolvasni.? Ekkor ?gy beleszor?tott engem a lepelbe, hogy azt hittem, meg kell halnom, azut?n elengedett, s megint azt mondta: ?Olvasd!? […] Megk?rdeztem, hogy mit kell elolvasnom; erre azt felelte: ?Olvass a te Urad nev?ben, aki az embert egyetlen v?rr?gb?l alkotta, olvass, mert a te Urad, a legkegyelmesebb, aki a tollak ?ltal tan?totta meg az embert arra, amit az nem tudott!? ? ?s ekkor ?n olvastam, ?s G?briel ism?t elhagyott engem. Erre fel?bredtem, s ?gy ?reztem, mintha ezek a szavak a sz?vembe lenn?nek bele?rva. Kil?ptem a barlangb?l, s […] az ?g fel? emeltem fejemet, hogy a besz?l? ut?n n?zzek, ?s megl?ttam G?brielt sz?rnyas f?rfik?nt, l?bai a l?t?hat?ron nyugodtak.” (Ibn His?m ?ltal ?rt ?letrajz, 9. sz?zad)"	"1. A m? f?szerepl?je pr?f?ta lett.;2. Kezdet?t vette az iszl?m id?sz?m?t?s.;3. A m? f?szerepl?je mennybe ment. "	"1;0;0"	2	1	1	10	
A feladat az angol alkotm?nyos monarchia t?rt?net?hez kapcsol?dik. V?lassza ki a forr?s bet?vel jel?lt r?szletei k?z?l azokat, amelyek az igazs?gszolg?ltat?st szab?lyozz?k, illetve azokat, amelyek a v?grehajt? hatalom ellen?rz?s?r?l sz?lnak! ?rja a bet?jeleket a megfelel? mez?kbe! 	"?[A] Az Egyh?z?gyi Biztosok B?r?s?g?nak fel?ll?t?s?ra vonatkoz? utas?t?s ?s valamennyi egy?b hasonl? utas?t?s ?s t?rv?nysz?k t?rv?nyellenes ?s k?ros; […]\n[B] a fels?gjogra hivatkozva a korona r?sz?re ad?t beszedni a parlamet j?v?hagy?sa n?lk?l, vagy hosszabb id?re, vagy m?s m?don, mint az j?v?hagyatott, t?rv?nyellenes;\n[C] b?keid?ben a kir?lys?g ter?let?n ?lland? hadsereget gy?jteni vagy fenntartani, hacsak a parlament nem adja hozz?j?rul?s?t, t?rv?nyellenes; […]\n[D] a parlament tagjainak megv?laszt?sa szabadon kell, hogy t?rt?nj?k; […]\n[E] az esk?dteket [esk?dtb?r?s?g tagjait] annak rendje-m?dja szerint kell […]kiv?lasztani; […]\n[F] a t?rv?nyek megjav?t?sa […] ?rdek?ben gyakran kell parlamentet tartani.”(Jognyilatkozat, 1689) "	"A;B;C;D;E;F"	"Igazs?gszolg?ltat?s szab?lyoz?sa: _1;0;0;0;1;0|V?grehajt?s ellen?rz?se: _0;1;1;0;0;0"	2	3	1	11	
A feladat az 1848-as forradalommal kapcsolatos.Melyik ?ll?t?s t?masztja al? az id?zett besz?d a) bet?vel jelzett, al?h?zott r?sz?t? Jel?lje ki az egyetlen helyes ?ll?t?s sorsz?m?t! 	"?[a)] A hozott t?rv?nyeket ?s azok k?vetkezm?nyeit tekintve fontosabbat, nevezetesebbet t?rv?nyhoz?sunk […] [?vsz?zadai] nem ismernek. T?rv?nyeinknek, mellyek e jelen orsz?ggy?l?sen szentes?tettek, kis k?tege ?llodalmunk [?llamunk] majd minden viszonyainak l?nyeges megv?ltoztat?s?t foglalja mag?ban. [b)] Orsz?ggy?l?s?nk ez alakban ut?szor van egy?tt; [c)] hazat?rt?nkkor a r?gi viszonyokkal t?bb? nem tal?lkozunk.” (Zarka J?nosnak, az als?t?bla eln?k?nek z?rszava az orsz?ggy?l?sen, 1848. ?prilis)"	"1. A ?hozott t?rv?nyek” kimondt?k Magyarorsz?g elszakad?s?t a Habsburg Birodalomt?l, ami a szabads?gharc kirobban?s?hoz vezetett.;2. A ?hozott t?rv?nyekkel” a forradalom el?rte f? c?ljait, megteremt?dtek a polg?ri ?talakul?s felt?telei.;3. A ?hozott t?rv?nyek” megteremtett?k Magyarorsz?g ?s Ausztria kiegyez?s?t, ami lehet?v? tette a gyors gazdas?gi fejl?d?st"	"0;1;0"	2	1	1	12,13	
A feladat az 1848-as forradalommal kapcsolatos. Mire utal az id?zett besz?d b) bet?vel jelzett, al?h?zott r?sze? Jel?lje ki az egyetlen helyes v?lasz sorsz?m?t!	"?[a)] A hozott t?rv?nyeket ?s azok k?vetkezm?nyeit tekintve fontosabbat, nevezetesebbet t?rv?nyhoz?sunk […] [?vsz?zadai] nem ismernek. T?rv?nyeinknek, mellyek e jelen orsz?ggy?l?sen szentes?tettek, kis k?tege ?llodalmunk [?llamunk] majd minden viszonyainak l?nyeges megv?ltoztat?s?t foglalja mag?ban. [b)] Orsz?ggy?l?s?nk ez alakban ut?szor van egy?tt; [c)] hazat?rt?nkkor a r?gi viszonyokkal t?bb? nem tal?lkozunk.” (Zarka J?nosnak, az als?t?bla eln?k?nek z?rszava az orsz?ggy?l?sen, 1848. ?prilis)"	"1. A fels?t?bla megsz?ntet?s?vel egykamar?s orsz?ggy?l?st hoztak l?tre.;2. ?ltal?nos v?laszt?jogot vezettek be.;3. N?pk?pviseleti orsz?ggy?l?s v?ltotta fel az eddigi rendi orsz?ggy?l?st."	"0;0;1"	2	1	1	12,13	
A feladat az 1848-as forradalommal kapcsolatos. A forr?s szerz?je a jellemz?en a birtokos nemesek k?z? tartoz? k?vett?rsaihoz besz?lt. Melyik int?zked?s volt a legjelent?sebb oka annak a v?ltoz?snak, amelyre az id?zett besz?d c) bet?vel jelzett, al?h?zott r?sze utal? Nevezze meg szakkifejez?ssel! 	"?[a)] A hozott t?rv?nyeket ?s azok k?vetkezm?nyeit tekintve fontosabbat, nevezetesebbet t?rv?nyhoz?sunk […] [?vsz?zadai] nem ismernek. T?rv?nyeinknek, mellyek e jelen orsz?ggy?l?sen szentes?tettek, kis k?tege ?llodalmunk [?llamunk] majd minden viszonyainak l?nyeges megv?ltoztat?s?t foglalja mag?ban. [b)] Orsz?ggy?l?s?nk ez alakban ut?szor van egy?tt; [c)] hazat?rt?nkkor a r?gi viszonyokkal t?bb? nem tal?lkozunk.” (Zarka J?nosnak, az als?t?bla eln?k?nek z?rszava az orsz?ggy?l?sen, 1848. ?prilis)"	" jobb?gyfelszabad?t?s;?r?kv?lts?g;?rb?ri viszonyok megsz?ntet?se;k?ztehervisel?s; t?rv?ny el?tti egyenl?s?g ; jogkiterjeszt?s"	"1;1;1;1;1;1"	2	3	1	12,13	
